pitch_mean,pitch_std,energy_mean,energy_std,duration_sec,mfcc1_mean,mfcc2_mean,mfcc3_mean,mfcc4_mean,mfcc5_mean,mfcc6_mean,mfcc7_mean,mfcc8_mean,mfcc9_mean,mfcc10_mean,mfcc11_mean,mfcc12_mean,mfcc13_mean,file,emotion,actor,gender
71.67854247889912,6.314746069350533,0.004056211,0.005906886,3.4701458333333335,-679.5388,78.69846,0.6677377,10.390019,5.2070208,11.5252285,-7.0435295,2.0349178,-6.76945,-3.4523172,-8.604058,-2.1430979,2.1536033,03-01-03-01-01-01-01.wav,happy,1,male
102.15621247289862,32.58616257571982,0.006350114,0.01082513,3.6036041666666665,-615.36975,64.71238,-17.525734,1.0721138,2.1432564,-0.74515945,-10.137992,1.4398376,-9.424701,-8.146934,-1.7783344,-3.564711,-4.9699283,03-01-03-01-01-01-02.wav,happy,2,female
79.30361293983628,12.240085208591612,0.007494982,0.010510162,3.7704166666666667,-581.5178,86.497955,-7.0137935,6.6178164,-1.4996196,11.158793,-4.065108,-3.0187306,-13.006205,-5.2034183,-6.950407,-7.8739395,3.0678215,03-01-03-01-01-01-03.wav,happy,3,male
103.23997117933604,36.90891125562681,0.0042314455,0.006273364,3.5035,-676.8508,66.87937,-13.539673,3.8077111,-0.41860268,-0.7348272,-11.490603,-0.45724154,-10.418559,-8.775729,-5.1794977,-3.0771792,-6.2198434,03-01-03-01-01-01-04.wav,happy,4,female
72.30837098818375,5.924195419794762,0.004627866,0.006904089,3.470125,-658.3063,78.063484,-0.7869622,10.139037,8.304727,12.286282,-4.8716984,0.52415764,-5.5969224,-3.2145653,-9.875026,-1.7062542,3.757534,03-01-03-01-01-02-01.wav,happy,1,male
107.18124843017242,30.201703889808183,0.0057052895,0.009242232,3.7036875,-636.3285,67.11574,-15.966241,4.9848876,3.6786535,0.79736173,-11.596442,2.4776037,-10.262893,-7.0668077,-1.8124374,-3.9395,-5.938978,03-01-03-01-01-02-02.wav,happy,2,female
97.53248591602595,19.839160441081095,0.010318054,0.013831827,3.6035833333333334,-547.64355,79.97516,-9.052596,3.5378187,-7.8603096,5.4312334,-4.5503254,-2.2370389,-14.489897,-4.793423,-7.7603245,-10.281888,1.0722274,03-01-03-01-01-02-03.wav,happy,3,male
133.16233280270794,34.75133827642417,0.006320261,0.009550498,3.5368541666666666,-631.01654,62.360752,-19.46983,2.638144,-0.88690966,0.5751684,-14.138815,-0.24576591,-8.771269,-11.777574,-4.8384457,-2.5989602,-6.5377607,03-01-03-01-01-02-04.wav,happy,4,female
68.238024660258,3.564115589816285,0.0036503486,0.0052630836,3.5368541666666666,-693.60925,77.67328,2.3561044,12.037885,5.2729106,9.537619,-5.2778487,3.8140166,-8.2640085,-3.2064872,-11.793282,-2.4545708,4.334239,03-01-03-01-02-01-01.wav,happy,1,male
103.76980576415285,19.849471250793624,0.006452927,0.010242652,3.7704375,-623.5609,64.292656,-16.984367,1.9863316,-0.77768636,-1.0957061,-10.206498,-1.095691,-12.033014,-9.559129,-2.6313574,-3.4545596,-7.2920837,03-01-03-01-02-01-02.wav,happy,2,female
